relation_id,target_maker_id,is_auto_disambiguation
4405,2760,
2128,457,
10362,8737,
5519,696,
3377,738,
6647,1348,
6042,1749,
2135,1956,
4456,8802,
4546,2781,
5922,2740,
6578,674,
18095,494,
668,342,
15146,5694,
18583,3130,
6014,1822,
13573,5567,
8197,2497,
6476,2155,
20938,9962,
14578,4274,
4732,613,
16500,6723,
20244,9848,
1920,1140,
14226,5638,
9089,2741,
17142,9281,
5957,455,
4689,1047,
3075,471,
2433,531,
4468,4069,
3433,3482,
20928,8520,
11601,3777,1
5753,1917,
7306,1951,
12827,3518,
16770,7016,
12566,9378,
20751,7671,
10155,3132,
817,182,
11059,10318,
9573,5199,
1572,340,
15317,4546,
20055,9969,
4563,1152,
5737,9012,
20187,4808,
20618,10066,
4555,5325,
16673,10167,
20639,7567,
13790,6757,
18822,10207,
20028,9673,
19758,8789,
15450,5903,
10837,3447,
14062,442,
5574,4412,
11011,1800,
4955,1590,
19742,6979,
16843,4187,
9423,9067,
11730,3889,
9830,8085,
11178,421,
16347,6587,
17237,7493,
14238,5340,
18077,3405,
5254,1350,
845,430,
7240,1076,
14777,9375,
8114,9564,
4447,1053,
15476,7968,
17883,8176,
3019,1102,
20229,2898,
16462,4954,
10862,2569,
2511,3259,
18572,8751,
16028,6352,
15841,6182,
17939,6001,
3738,438,
14350,675,
10365,8736,
8707,1727,
4711,1176,
3777,182,
2817,1291,
799,805,
1658,395,
8078,3988,
3143,207,
3556,8936,
14176,1068,
11697,21,
3390,737,
13047,4491,
11798,1864,
2888,78,
7834,3422,
2675,60,
20093,10062,
16707,915,
7851,2595,
11610,3669,
2876,1303,
3032,1349,
4300,1615,
6552,1524,
15070,2914,
8175,2453,
2962,1868,
222,1704,
7809,3197,
4406,2016,
2555,1679,
5521,1451,
3378,738,
6648,184,
6043,1751,
4457,5735,
4547,2312,
5923,2741,
6581,674,
18635,3653,
14384,50,
4389,3814,
4662,288,
4757,1027,
1535,1847,
8223,2504,
20940,10315,
1813,4480,
16547,6780,
670,5752,
15147,3109,
13639,9982,
6015,1744,
14603,5468,
1164,502,1
20245,9846,
8206,2499,
6477,2156,
5479,1379,
19744,4285,
9091,1700,
21090,10467,
5960,3255,
2627,9734,
4490,422,
5755,1918,
16161,6437,
4690,2651,
3076,1392,
7344,2231,
20755,10461,
2498,551,
20620,9734,
3435,2278,
13228,9710,
10636,795,
18011,8268,
9577,2799,
4488,812,
18980,6839,
5576,609,
5314,1385,
10838,3274,
14231,2137,
20029,7346,
19759,8196,
11060,6489,
820,1348,
9425,2835,
3695,9842,
8689,2400,
9109,2710,
9831,8085,
19018,8089,
16348,6588,
7282,254,
16674,5711,
13817,5003,
5424,696,
19324,7614,
14778,5903,
15511,5939,
18135,8370,
6395,1855,
5339,674,1
4448,2836,
11569,6813,
10863,3454,
2668,791,
6810,50,
14063,1884,
11132,1044,
10366,8737,
5295,738,
17011,4217,
14385,2709,
13719,8636,
12402,4687,
1129,544,
1504,734,
7316,2217,
7501,2276,
14250,5346,
15477,7970,
17944,8226,
20412,10077,
16521,6743,
18573,8751,
16401,4907,
20056,10141,
16005,4724,
18098,2341,
8134,2481,
14351,541,
9098,2536,
8709,2389,
14029,5164,
3778,10,
2819,411,
800,164,
1659,1399,
8079,2460,
3144,611,
3560,989,
14375,831,
11698,541,
5256,1861,
1102,8486,
7835,3110,
20094,9974,
2676,4859,
16734,6985,
15764,6104,
15952,2763,
2878,830,
8503,2552,
3020,827,
2512,551,
846,7596,
1850,610,
4412,3524,
6553,1918,
8177,2489,
9452,2833,
2963,657,
223,1098,
4407,573,
2556,2085,
10002,5803,
5526,696,
3505,837,
18684,1068,
6045,1749,
4458,5300,
4548,768,
5929,58,
672,1975,
20945,10360,
15875,3244,
6485,1461,
16549,6779,
20479,10004,
17204,7615,
15995,6289,
13850,6901,
17067,7336,
16227,6506,
14604,2305,
9092,2742,
8405,2516,
5976,2597,
20756,10187,
11575,2634,
13229,9711,
6490,1903,
20623,9669,
14232,4902,
5504,841,
20640,9175,
4491,1907,
18981,4132,
5779,1910,
15363,5837,
3368,37,
20281,9358,
19760,8789,
10221,3789,
20364,10251,
10731,2866,
18012,6752,
3697,8452,
9578,4311,
9110,9273,
16675,538,
16671,6962,
2499,511,
10841,7090,
4044,875,
4652,1701,
5577,2537,
5394,1391,
9426,2837,
13901,4735,
821,1216,
9832,9775,
18228,8443,
15795,6157,
19269,4960,
14064,1514,
8690,3225,
17012,1461,
7284,4600,
11197,3565,
6397,1971,
12404,6534,
13856,4141,
14265,566,
15494,7994,
17945,8225,
5320,1314,
20413,9982,
5607,650,
16522,2096,
18625,2504,1
10865,3962,
19426,6726,
11133,2858,
5811,6872,
16427,8262,
20266,9875,
16047,6359,
18099,3654,
8136,2457,
5297,1357,
9099,2740,
1551,1201,
801,610,
3886,2746,
2820,430,
1660,610,
8082,2477,
14277,8455,
3562,692,
11699,21,
3425,5775,
14868,169,
1130,2206,
1505,2529,
2677,390,
20170,7272,
5283,408,
