maker_id,inst_code,inst_name,id
9192,128,thermometer,5416
1261,20,"barometer (stick),",5417
1261,128,thermometer,5418
1261,105,"sextant,",5419
2709,20,"barometer,",5420
9193,74,miner's dial,5421
9194,40,barograph,5422
9195,20,barometer (pocket aneroid),5423
4880,20,"barometer,",5424
4880,56,"hygrometer,",5425
4880,60,"level,",5426
4880,128,thermometer,5427
4259,125,"telescope [marine],",5428
6760,123,oxtant,5429
6979,124,quintant,5430
451,74,"miner's lamp,",5431
9200,133,waywiser,5432
5459,123,"octant,",5433
3822,125,telescope,5434
9201,20,"barometer,",5435
9201,128,thermometer,5436
1182,111,portable sundial,5437
1182,20,"barometer,",5438
5952,7,clock,5439
8240,105,sextant,5440
3518,125,"telescope (refractor),",5441
3518,123,"octant,",5442
3518,133,waywiser,5443
9203,107,preinting plape for paper slide rule,5444
1446,1,"air pump,",5445
1446,125,telescope,5446
2978,39,"drawing inst set,",5447
2978,104," sector,",5448
2978,147,protractor,5449
2114,125,walking stick telescope,5450
1626,85,"planetarium,",5451
1626,29,"azimuth compass,",5452
1626,125,telescope (reflrcting),5453
1626,15,"hydrostatic balance,",5454
9205,20,barometer (aneroid),5455
2311,42,cylinder electrical machine,5456
2311,20,"barometer,",5457
2311,128,thermometer,5458
4600,66,"microscope,",5459
4600,125,telescope,5460
3657,125,telescope,5461
1625,123,"octant,",5462
1625,125,telescope (refacting),5463
1625,39,"proportional dividers,",5464
1625,133,"waywiser,",5465
1625,125,telescope (reflecting),5466
1625,124,"quintant,",5467
1625,85,orrey,5468
9207,20,"barometer (marine),",5469
9207,128,thermometer,5470
716,20,"barometer,",5471
9214,111,sundial (probably),5472
7638,123,"octant,",5473
4424,105,box sextant,5474
431,128,"thermometer,",5475
431,101,"ruler,",5476
431,147,protractor,5477
2012,125,telescope,5478
2585,20,"barometer,",5479
2585,128,themometer,5480
2340,20,"barometer,",5481
2340,128,"thermometer,",5482
2340,39,proportional dividers,5483
5353,68,"astro.quadrant,",5484
5353,127,"theodolite,",5485
5353,125,"equatorial inst,",5486
5353,299,Polar sector,5487
5353,131,transit instrument,5488
410,38,"dividing engine,",5489
410,20,"barometers,",5490
410,102,"repeating circle,",5491
410,125,telescope,5492
410,66,"microscope,",5493
442,123,"octant,",5494
442,56,"hygrometer,",5495
442,300,lactometer,5496
442,146,"electrometer,",5497
442,150,"azimuth instrument,",5498
442,70,"eyepiece micrometer,",5499
442,51,"gunner's level,",5500
442,132,gunner's calliper,5501
442,118,"galvanometer,",5502
3777,229,azimuth mirror,5503
816,20,barometer,5504
165,127,"theodolite,",5505
165,133,waywiser,5506
166,75,Hadley's quadrant,5507
164,123,"Hadley's quadrant,",5508
164,144,gauging rod,5509
164,71,"reading glass,",5510
164,120,"Leyden jars,",5511
164,163,mechanical model,5512
1964,125,telescope,5513
234,111,analematic dial,5514
2000,124,"quintant,",5515
2000,107,"slide rule,",5516
2000,80,"pentograph,",5517
2000,125,telescope,5518
332,66,"solar microscope,",5519
332,56,"hygrometer,",5520
522,107,slide rule,5521
9228,20,barometer,5522
6361,105,sextant,5523
2803,20,sympiesometer,5524
1204,54,hydrometer,5525
1487,125,telescope,5526
1926,105,"sextant,",5527
5120,,"",5528
6913,29,"overhead compass,",5529
9305,17,binnacle,5530
3633,25,camers obscura,5531
3633,66,"microscope,",5532
3633,81,"polariscope,",5533
3633,24,"camera lucida,",5534
3633,139,photographic apparatus,5535
7994,29,compass,5536
7994,125,telescope,5537
9306,303,oscillograph,5538
9307,125,telescope,5539
8709,20,marine barometer,5540
169,29,compass,5541
7395,118,galvanometer,5542
7554,66,stereomicroscope,5543
9315,143,electrical apparatus,5544
4914,259,telegraphic apparatus,5545
6925,125,telescope,5546
4268,28,"clinometer,",5547
4268,29,"prismatic compass,",5548
4268,56,hygrometer,5549
949,24,camera lucida,5550
9323,45,globe,5551
9324,20,barometer,5552
1388,125,transit telescope,5553
2993,66,"microscope,",5554
2992,127,theodolite,5555
2991,101,rule,5556
5201,99,microscope accessories,5557
9328,20,barometer,5558
9328,128,thermometer,5559
2141,20,"barometer,",5560
2141,128,thermometer,5561
2141,99,"microscope accessories,",5562
4468,20,"barometer,",5563
4468,128,thermometer,5564
4468,56,"hygrometer,",5565
4468,115,"spirit level,",5566
9334,20,"barometer,",5567
9334,128,thermometer,5568
9335,101,"rule,",5569
9335,147,protractor,5570
1012,128,thermometer,5571
1012,115,"spirit level,",5572
1068,26,"marine chronometer,",5573
1068,26,pocket chronometer,5574
4664,63,lens,5575
115,101,"rules,",5576
115,87,perspectograph,5577
6754,20,"barometer,",5578
6754,20,"sympiesometer,",5579
6754,128,thermometer,5580
6113,138,tide gauge,5581
9340,20,"barometer,",5582
9340,128,thermometer,5583
9341,20,"barometer,",5584
9341,56,"hygrometer,",5585
9341,115,"spirit level,",5586
9341,128,thermometer,5587
7207,308,plane tool,5588
5288,26,chronometer,5589
9342,20,"barometer,",5590
9342,128,thermometer,5591
9343,52,wrap real (for measuring cotton thread),5592
9343,15,yarn balance,5593
9344,125,telescope,5594
3043,20,barometer.,5595
3043,128,thermometer,5596
4564,20,barometer,5597
4564,128,"thermometer,",5598
4564,115,"spirit level,",5599
4564,56,hygrometer,5600
895,128,hygrometer,5601
9347,20,barometer,5602
9348,128,thermometer,5603
7946,66,microscope,5604
4290,99,microscope slides,5605
9349,3,anemometer,5606
8262,20,"barometer,",5607
8262,128,thermometer,5608
9350,20,"barmometer,",5609
9350,128,thermometer,5610
38,128,thermometer,5611
9351,20,barometer,5612
9351,128,thermometer,5613
6319,109,position indicator,5614
9352,17,"binnacle,",5615
9352,26,"chronometer,",5616
9352,29,compass,5617
4766,20,barometer,5618
4766,128,thermometer,5619
9353,20,"barometer,",5620
9353,56,"hygrometer,",5621
9353,115,"spirit level,",5622
9353,128,thermometer,5623
9353,88,"mirror,",5624
8911,20,stick barometer,5625
9354,52,water depth recorder,5626
5069,42,"induction coil,",5627
5069,48,"horseshoe magnets,",5628
5069,268,"magnetometer,",5629
5069,311,thermoelectrometer,5630
4269,312,"microspectroscope,",5631
4269,116,spectroscope,5632
4269,70,"micrometer eyepiece,",5633
4269,221,"spectrometer,",5634
6929,116,spectroscope,5635
9356,29,compass,5636
1105,20,"barometer,",5637
1105,29,compass,5638
4281,63,lenses,5639
4281,93,prisms,5640
4281,174,bull's eye illuminator,5641
431,127,"theodolite,",5642
4281,24,camera lucida,5643
9358,33,"laboratory apparatus,",5644
1296,99,"quintant,",5645
1296,123,telescope,5646
9359,20,barometer,5647
509,29,"prismatic compass,",5648
509,128,thermometer,5649
2767,29,compass,5650
2254,45,globe,5651
476,29,compass (dry-card),5652
476,105,sextant,5653
9361,221,"spectrometer,",5654
9361,314,interfermeter,5655
5987,20,"barometer [signed 'Webster, London', probably by this maker]",5656
4284,78,opera glasses,5657
5156,20,"barometer,",5658
5156,111,"sundial,",5659
5156,128,"thermometer,",5660
9230,123,octant,5661
1454,66,microscope,5662
974,20,barometer,5663
9231,26,chronometers,5664
4994,5,"artificial horizon,",5665
4994,105,sextant,5666
9242,26,chronometers,5667
9246,26,"chronometers,",5668
9246,105,sextant,5669
9246,125,telescope,5670
2015,114,spectacles,5671
9149,26,chronometers nos.772 & 956,5672
9260,26,chronometers,5673
4,63,"lenses,",5674
4,69,"magic lantern,",5675
4,125,reflecting telescope,5676
8891,26,chronometer,5677
310,39,proportional compasses,5678
6016,29,"prismatic compass,",5679
6016,126,"Gunter's rule,",5680
6016,131,transit theodolite,5681
5090,123,octant,5682
6012,125,telescope,5683
9264,20,barometer,5684
5776,15,scales,5685
5778,20,barometer,5686
6722,143,"electrical apparatus,",5687
6722,139,"photographic camara,",5688
9272,108,parallel rule,5689
2763,114,spectacles.,5690
2763,63,"lenses,",5691
2763,34,"blow pipe,",5692
6795,20,"barometer,",5693
6795,128,thermometer,5694
2086,104,sector,5695
5495,45,globes,5696
2634,108,parallel rule,5697
2634,74,miner's dial,5698
2634,127,theodolites,5699
2634,80,eidograph,5700
2634,125,telescope,5701
2634,20,"sympiesoketer,",5702
2634,70,micrometer eye-piece,5703
2634,101,"standard inch,",5704
6228,63,lens,5705
3492,20,"barometer,",5706
1852,125,telescope,5707
9279,45,globe,5708
4154,7,"astronomical regulator (clock),",5709
4154,125,telescope,5710
4155,134,"weights,",5711
5921,128,thermometer,5712
9284,107,slide rule,5713
9284,39,"pen,",5714
9284,47,"tachometer,",5715
8203,52,"gauges,",5716
8203,101,standard measures,5717
2306,74,"miner's dial,",5718
2306,101,"standard measures,",5719
2306,60,"level,",5720
2306,109,"station pointer,",5721
2306,134,standard weights,5722
1417,127,theodlote,5723
3610,125,telescope,5724
3610,37,gyroscope,5725
3610,318,Foucault's pendulum,5726
3610,70,microscope micrometer,5727
9291,180,"range finders,",5728
9291,131,"transit circles,",5729
9291,127,"theodolites,",5730
9291,101,"standard of length,",5731
9291,105,"sextants,",5732
9291,70,"micrometer,",5733
9291,319,tacheometer,5734
5961,20,barometer,5735
5981,,"",5736
3611,20,barometer,5737
9293,20,barometer,5738
9294,20,"barometer,",5739
9294,128,thermometer,5740
3320,20,barometer,5741
5128,,"",5742
2326,63,"lenses,",5743
4820,,"",5744
4257,69,magic lanterns,5745
5145,,"",5746
5181,,"",5747
5449,26,chronometer,5748
5970,,"",5749
2204,56,"hygrometer,",5750
2204,156,rain gauge,5751
2341,20,barometer,5752
2834,127,theodolite,5753
9376,45,globes,5754
9378,3,anemometers,5755
9378,138,tide gauges,5756
9378,320,"seismograph,",5757
9378,211,dynamometers,5758
9378,321,air speed meter,5759
4355,11,actinometer,5760
4355,20,barometer,5761
4355,128,thermometer,5762
9194,29,air compasses,5763
9380,128,thermometer,5764
5132,,"",5765
5132,,"",5766
5354,54,hydrometer,5767
4414,5,artificial horizon,5768
4414,101,"ruler,",5769
4414,105,"sextant,",5770
4414,109,station pointer,5771
4414,220,heliostat,5772
7877,125,telescope,5773
5127,39,drawing instruments,5774
944,1,air pump,5775
5072,127,"theodolite,",5776
5072,180,stadimeter,5777
5072,66,"microscope (binocular),",5778
5072,105,"sextant,",5779
1364,20,"barometer,",5780
325,123,octant,5781
3777,60,"level,",5782
3777,74,"mining dial,",5783
3777,127,theodolite,5784
3777,108,"parallel rule,",5785
3777,147,protractor,5786
3777,66,microscope,5787
9391,131,portable transit instrument,5788
9392,131,portable transit instrument,5789
4159,20,"barometer,",5790
4159,115,"level,",5791
4154,139,photographic camera,5792
9394,123,octant,5793
3738,125,telescope (refractor),5794
4164,128,thermometer,5795
4164,5,aetificial horizon,5796
4164,29,compass (ship's),5797
9421,111,sundial (horizontal),5798
9422,111,"? Possibly the maker of a sundial signed 'Rayment, Stamford'",5799
9423,111,"?possibly the maker of a sundial siganed 'Rayment, Stamford'",5800
2197,66,microscope,5801
746,7,"astro clock,",5802
768,123,octant,5803
2632,156,rain gauge,5804
2632,107,"slide rules,",5805
2632,105,"box sextants,",5806
2632,127,"theodolites,",5807
2632,128,"thermometers,",5808
9428,29,pocket compass,5809
6255,125,telescope,5810
2610,123,"octant,",5811
2610,108,"parallel rule,",5812
2610,124,quintant,5813
2088,324,"current meter,",5814
2088,105,"box sextant,",5815
2088,29,"prismatic compass,",5816
2101,80,pantograph,5817
6910,178,compass corrector,5818
2137,29,"overhead compass,",5819
2137,123,"octant,",5820
5459,125,telescope,5821
3500,28,"clinometer,",5822
3500,116,"spectroscope,",5823
3500,66,solar microscope,5824
3500,23,"callipers,",5825
3500,231,vibration apparatus,5826
3500,263,"siren,",5827
3500,326,electric bell,5828
4686,26,chronometer,5829
446,82,saccharometer,5830
2241,99,microscope accessories,5831
2975,63,"lenses,",5832
2180,20,"barometer,",5833
2180,56,"hygrometer,",5834
2180,128,thermometer,5835
4905,,"",5836
5679,127,theodolite,5837
