town_location_id,geom,town
77,"{""type"":""Point"",""coordinates"":[-0.9786725,51.9983175]}",Buckingham
78,"{""type"":""Point"",""coordinates"":[-2.6531343,53.1236341]}",Bunbury near Chester
79,"{""type"":""Point"",""coordinates"":[-2.959932067,50.873651227]}",Chard
80,"{""type"":""Point"",""coordinates"":[-1.401268,53.0633087]}",Butterley
81,"{""type"":""Point"",""coordinates"":[-0.0197534,51.4453215]}",Catford
82,"{""type"":""Point"",""coordinates"":[-0.6033186,53.0250422]}",Caythorpe
83,"{""type"":""Point"",""coordinates"":[-2.9362311,54.8948478]}",Carlisle
84,"{""type"":""Point"",""coordinates"":[0.0365359,51.4826053]}",Charlton
85,"{""type"":""Point"",""coordinates"":[0.5292758,51.3804845]}",Chatham
86,"{""type"":""Point"",""coordinates"":[0.4724553,51.7345398]}",Chelmsford
87,"{""type"":""Point"",""coordinates"":[0.1272878,51.3579434]}",Chelsfield
88,"{""type"":""Point"",""coordinates"":[-0.0335908,51.702052]}",Cheshunt
89,"{""type"":""Point"",""coordinates"":[-2.0711559,51.8995685]}",Cheltenham
90,"{""type"":""Point"",""coordinates"":[-2.8908955,53.1908873]}",Chester
91,"{""type"":""Point"",""coordinates"":[-1.5750431,54.8543237]}",Chester le Street
92,"{""type"":""Point"",""coordinates"":[0.1445917,52.2222881]}",Chesterton
93,"{""type"":""Point"",""coordinates"":[-2.297934003,53.59300894]}",Bury
94,"{""type"":""Point"",""coordinates"":[-4.114615433,53.234556143]}",Bangor
95,"{""type"":""Point"",""coordinates"":[-3.014824266,53.394646972]}",Birkenhead
96,"{""type"":""Point"",""coordinates"":[-2.16501514,50.857938259]}",Blandford
97,"{""type"":""Point"",""coordinates"":[-3.409083776,51.945834324]}",Brecknock
98,"{""type"":""Point"",""coordinates"":[-0.657797754,51.536262281]}",Burnham
99,"{""type"":""Point"",""coordinates"":[-2.6089889,51.3660251]}",Chew Magna
101,"{""type"":""Point"",""coordinates"":[-0.783114432,50.84467705]}",Chichester
102,"{""type"":""Point"",""coordinates"":[-0.2430129,52.1462041]}",Everton
103,"{""type"":""Point"",""coordinates"":[-1.5555812,54.5242081]}",Darlington
104,"{""type"":""Point"",""coordinates"":[0.21807,51.4443059]}",Dartford
105,"{""type"":""Point"",""coordinates"":[0.089833697,51.6286009]}",Chigwell
106,"{""type"":""Point"",""coordinates"":[-2.51218336,51.2618429]}",Chilcompton
107,"{""type"":""Point"",""coordinates"":[-1.7813927,52.0496652]}",Chipping Campden
108,"{""type"":""Point"",""coordinates"":[0.0769545,51.4115718]}",Chislehurst
100,"{""type"":""Point"",""coordinates"":[-2.764484969,53.567267028]}",Dalton 
109,"{""type"":""Point"",""coordinates"":[-1.5924184,51.2082919]}",Church
110,"{""type"":""Point"",""coordinates"":[0.8779245,52.32678855]}",Church Stanton
111,"{""type"":""Point"",""coordinates"":[-1.9661616,51.7171029]}",Cirencester
112,"{""type"":""Point"",""coordinates"":[0.8994651,51.8896903]}",Colchester
114,"{""type"":""Point"",""coordinates"":[-2.194970171,53.1630875]}",Congleton
115,"{""type"":""Point"",""coordinates"":[-1.9483083,52.0940158]}",Evesham
116,"{""type"":""Point"",""coordinates"":[-3.583844,50.3514839]}",Dartmouth
117,"{""type"":""Point"",""coordinates"":[1.4027344,51.2239544]}",Deal
118,"{""type"":""Point"",""coordinates"":[-3.4444571,54.7094672]}",Dearham
119,"{""type"":""Point"",""coordinates"":[-0.0215164,51.4758453]}",Deptford
120,"{""type"":""Point"",""coordinates"":[-1.9499173,53.4433552]}",Glossop
121,"{""type"":""Point"",""coordinates"":[-5.0688262,50.1552197]}",Falmouth
122,"{""type"":""Point"",""coordinates"":[-0.7984854,51.2151749]}",Farnham
123,"{""type"":""Point"",""coordinates"":[-2.7319827,53.3838964]}",Farnworth
124,"{""type"":""Point"",""coordinates"":[0.8911894,51.3144088]}",Faversham
125,"{""type"":""Point"",""coordinates"":[-0.611219797,51.1888841]}",Godalming
126,"{""type"":""Point"",""coordinates"":[-0.1805587,51.5973246]}",Finchley
127,"{""type"":""Point"",""coordinates"":[-3.613215,57.609864]}",Forres
128,"{""type"":""Point"",""coordinates"":[1.0043386,52.7776939]}",Foulsham
129,"{""type"":""Point"",""coordinates"":[-2.0051497,57.6935974]}",Fraserburgh
130,"{""type"":""Point"",""coordinates"":[-2.319846671,51.2294852]}",Frome
133,"{""type"":""Point"",""coordinates"":[-2.3342665,55.1943577]}",Gatehouse 
134,"{""type"":""Point"",""coordinates"":[-1.6019294,54.9625789]}",Gateshead
135,"{""type"":""Point"",""coordinates"":[-2.97019,56.4605938]}",Dundee
136,"{""type"":""Point"",""coordinates"":[6.1466014,46.2017559]}",Geneva
137,"{""type"":""Point"",""coordinates"":[-3.4616183,56.0713724]}",Dunfermline
138,"{""type"":""Point"",""coordinates"":[-4.924916,55.9470831]}",Dunoon
139,"{""type"":""Point"",""coordinates"":[-6.2602732,53.3497645]}",Dublin
140,"{""type"":""Point"",""coordinates"":[-1.4761491,52.9212617]}",Derby
141,"{""type"":""Point"",""coordinates"":[-7.3213056,54.9978678]}",Derry
142,"{""type"":""Point"",""coordinates"":[-2.3438476,55.777842]}",Dunse 
143,"{""type"":""Point"",""coordinates"":[-1.9958302,51.3525027]}",Devizes
144,"{""type"":""Point"",""coordinates"":[-1.1210853,50.7952074]}",Gosport
145,"{""type"":""Point"",""coordinates"":[-3.005830105,56.317159393]}",Cupar
146,"{""type"":""Point"",""coordinates"":[-8.4654674,51.897077]}",Cork
147,"{""type"":""Point"",""coordinates"":[-2.353186338,51.68138845]}",Dursley
148,"{""type"":""Point"",""coordinates"":[-0.3051952,51.5126553]}",Ealing
149,"{""type"":""Point"",""coordinates"":[-2.0816813,52.5110832]}",Dudley
150,"{""type"":""Point"",""coordinates"":[-1.4888648,52.9861026]}",Duffield
151,"{""type"":""Point"",""coordinates"":[1.116931724,52.38117845]}",Diss
152,"{""type"":""Point"",""coordinates"":[-0.0117661,51.1322179]}",East Grinstead
153,"{""type"":""Point"",""coordinates"":[-1.510477,52.4081812]}",Coventry
154,"{""type"":""Point"",""coordinates"":[-3.6092292,55.069836]}",Dumfries
155,"{""type"":""Point"",""coordinates"":[-1.2985186,50.7633176]}",Cowes
156,"{""type"":""Point"",""coordinates"":[-3.6542691,50.7879937]}",Crediton
157,"{""type"":""Point"",""coordinates"":[-1.860311336,51.63448645]}",Cricklade
158,"{""type"":""Point"",""coordinates"":[-1.1335312,53.5227681]}",Doncaster
159,"{""type"":""Point"",""coordinates"":[1.3134228,51.1251275]}",Dover
160,"{""type"":""Point"",""coordinates"":[0.0064566,51.426111]}",Downham
161,"{""type"":""Point"",""coordinates"":[0.2781546,50.7664372]}",Eastbourne
162,"{""type"":""Point"",""coordinates"":[-0.101957,51.3713049]}",Croydon
163,"{""type"":""Point"",""coordinates"":[-4.175140573,50.371126506]}",Devonport
164,"{""type"":""Point"",""coordinates"":[-3.0700445,55.8943361]}",Dalkeith
165,"{""type"":""Point"",""coordinates"":[0.072979029,51.1907598]}",Edenbridge
166,"{""type"":""Point"",""coordinates"":[-0.2749555,51.6136623]}",Edgware
167,"{""type"":""Point"",""coordinates"":[-4.8178728,55.9620009]}",Gourock
168,"{""type"":""Point"",""coordinates"":[-0.153823389,51.76222736]}",Essendon
169,"{""type"":""Point"",""coordinates"":[-3.1883749,55.9533456]}",Edinburgh
170,"{""type"":""Point"",""coordinates"":[-0.5473085,51.4312585]}",Egham
171,"{""type"":""Point"",""coordinates"":[-4.4905294,55.8354647]}",Elderslie
172,"{""type"":""Point"",""coordinates"":[-1.8394265,53.6905487]}",Elland
173,"{""type"":""Point"",""coordinates"":[-0.0416048,51.3994675]}",Elmers End
174,"{""type"":""Point"",""coordinates"":[0.0541253,51.4505687]}",Eltham
175,"{""type"":""Point"",""coordinates"":[0.262039,52.3990199]}",Ely
176,"{""type"":""Point"",""coordinates"":[-0.0810175,51.6520851]}",Enfield
177,"{""type"":""Point"",""coordinates"":[-0.0908639,51.6526384]}",Enfield Chase
178,"{""type"":""Point"",""coordinates"":[-6.1703572,53.1927323]}",Enniskerry
179,"{""type"":""Point"",""coordinates"":[0.054801129,51.6676884]}",Epping Forest
180,"{""type"":""Point"",""coordinates"":[0.1792322,51.480819]}",Erith
181,"{""type"":""Point"",""coordinates"":[0.464669774,51.77046785]}",Essex 
182,"{""type"":""Point"",""coordinates"":[-3.5269497,50.7255794]}",Exeter
183,"{""type"":""Point"",""coordinates"":[-3.784376,55.9991959]}",Falkirk
184,"{""type"":""Point"",""coordinates"":[-4.2488787,55.8609825]}",Glasgow
185,"{""type"":""Point"",""coordinates"":[-3.7230303,56.0189027]}",Grangemouth
186,"{""type"":""Point"",""coordinates"":[-2.2458192,51.8653705]}",Gloucester
187,"{""type"":""Point"",""coordinates"":[-0.6430066,52.9065217]}",Grantham
188,"{""type"":""Point"",""coordinates"":[-2.3285836,52.1109798]}",Great Malvern
189,"{""type"":""Point"",""coordinates"":[0.3694468,51.4424747]}",Gravesend
190,"{""type"":""Point"",""coordinates"":[1.7314845,52.6071742]}",Great Yarmouth
191,"{""type"":""Point"",""coordinates"":[-0.0045417,51.4820845]}",Greenwich
192,"{""type"":""Point"",""coordinates"":[-4.7564721,55.9473423]}",Greenock
193,"{""type"":""Point"",""coordinates"":[-0.0736289,53.5677371]}",Grimsby
194,"{""type"":""Point"",""coordinates"":[-2.5822348,49.4566233]}",Guernsey
