town_location_id,geom,town
341,"{""type"":""Point"",""coordinates"":[-0.116664523,51.571056245]}",London N 10
342,"{""type"":""Point"",""coordinates"":[-2.2273919,53.0117627]}",Newcastle under Lyme
343,"{""type"":""Point"",""coordinates"":[-2.2451148,53.4794892]}",Manchester
344,"{""type"":""Point"",""coordinates"":[1.3819699,51.3878174]}",Margate
345,"{""type"":""Point"",""coordinates"":[-3.433377283,56.395756947]}",Perth
346,"{""type"":""Point"",""coordinates"":[-0.9208575,52.4777114]}",Market Harborough
347,"{""type"":""Point"",""coordinates"":[-0.197148355,51.517658073]}",London W
348,"{""type"":""Point"",""coordinates"":[-0.902807277,52.23433665]}",Northampton
349,"{""type"":""Point"",""coordinates"":[-0.042764046,51.568289845]}",London NE
350,"{""type"":""Point"",""coordinates"":[-76.9382069,39.5162234]}",Maryland
351,"{""type"":""Point"",""coordinates"":[-1.5557234,53.1381728]}",Matlock Bridge
352,"{""type"":""Point"",""coordinates"":[-4.3790696,55.5159992]}",Mauchline 
353,"{""type"":""Point"",""coordinates"":[-2.131463309,51.3759342]}",Melksham
354,"{""type"":""Point"",""coordinates"":[-0.887587,52.7649964]}",Melton Mowbray
355,"{""type"":""Point"",""coordinates"":[-2.7570542,50.9417827]}",Norton sub Hamdon
356,"{""type"":""Point"",""coordinates"":[-0.074660864,51.464428292]}",London SE
357,"{""type"":""Point"",""coordinates"":[-2.1443209,53.536122]}",Newport Pagnall
358,"{""type"":""Point"",""coordinates"":[-6.337506,54.1775283]}",Newry
359,"{""type"":""Point"",""coordinates"":[-93.740504,30.8118989]}",Newton
360,"{""type"":""Point"",""coordinates"":[-3.63634995,50.53791245]}",Newton Abbot
361,"{""type"":""Point"",""coordinates"":[-4.4836737,54.959045]}",Newton Stewart
362,"{""type"":""Point"",""coordinates"":[-2.9721543,51.0230711]}",North Curry
363,"{""type"":""Point"",""coordinates"":[-1.4471035,55.0087655]}",North Shields
364,"{""type"":""Point"",""coordinates"":[-1.6938874,53.9055083]}",Otley
365,"{""type"":""Point"",""coordinates"":[-3.0548201,52.8603096]}",Oswestry
366,"{""type"":""Point"",""coordinates"":[-75.6900574,45.4211435]}",Ottawa
367,"{""type"":""Point"",""coordinates"":[-1.5980569,54.8853274]}",Ouston 
368,"{""type"":""Point"",""coordinates"":[-1.2578499,51.7520131]}",Oxford
369,"{""type"":""Point"",""coordinates"":[-4.4239646,55.8455828]}",Paisley
371,"{""type"":""Point"",""coordinates"":[-2.7522047,54.6639133]}",Penrith
372,"{""type"":""Point"",""coordinates"":[0.176626741,51.1612732]}",Penshurst
373,"{""type"":""Point"",""coordinates"":[0.0166833,51.5311544]}",Plaistow 
374,"{""type"":""Point"",""coordinates"":[-0.2427336,52.5725769]}",Peterborough
375,"{""type"":""Point"",""coordinates"":[-1.727732015,51.421198372]}",Marlborough
376,"{""type"":""Point"",""coordinates"":[0.0392744,51.5400084]}",Plashet
377,"{""type"":""Point"",""coordinates"":[-1.1779031,50.6288132]}",Shanklin
378,"{""type"":""Point"",""coordinates"":[0.7585715,51.4391704]}",Sheerness
379,"{""type"":""Point"",""coordinates"":[-0.4094529,52.9984193]}",Sleaford
380,"{""type"":""Point"",""coordinates"":[-0.5940682,51.5111014]}",Slough
381,"{""type"":""Point"",""coordinates"":[-2.6992717,53.7593363]}",Preston
382,"{""type"":""Point"",""coordinates"":[168.661,-45.0321923]}",Queenstown
383,"{""type"":""Point"",""coordinates"":[0.687315159,51.15122795]}",Smarden
384,"{""type"":""Point"",""coordinates"":[1.4196476,51.3334726]}",Ramsgate
385,"{""type"":""Point"",""coordinates"":[-2.1163818,52.8063157]}",Stafford
386,"{""type"":""Point"",""coordinates"":[-3.0041751,53.6475988]}",Southport
387,"{""type"":""Point"",""coordinates"":[-1.0886623,50.7888796]}",Southsea
388,"{""type"":""Point"",""coordinates"":[-0.959891656,53.08161435]}",Southwell
389,"{""type"":""Point"",""coordinates"":[-4.2403593,55.8562456]}",Spoutmouth
390,"{""type"":""Point"",""coordinates"":[-2.735982079,53.4486075]}",St Helens
391,"{""type"":""Point"",""coordinates"":[-4.1425658,50.3712659]}",Plymouth
392,"{""type"":""Point"",""coordinates"":[-0.9696512,51.456659]}",Reading
393,"{""type"":""Point"",""coordinates"":[-5.227134721,50.2385651]}",Redruth
394,"{""type"":""Point"",""coordinates"":[-1.102846456,50.797956506]}",Portsea
395,"{""type"":""Point"",""coordinates"":[-3.3449362,51.6001047]}",Pontypridd
396,"{""type"":""Point"",""coordinates"":[-1.953751254,50.74020055]}",Poole
397,"{""type"":""Point"",""coordinates"":[-3.782199,51.5952119]}",Port Talbot
398,"{""type"":""Point"",""coordinates"":[-0.2059492,51.237387]}",Reigate
399,"{""type"":""Point"",""coordinates"":[-0.9463982,53.3187417]}",Retford
400,"{""type"":""Point"",""coordinates"":[30.380619357,59.91785735]}",St Petersburg
401,"{""type"":""Point"",""coordinates"":[-1.7063668,52.1927885]}",Stratford upon Avon
402,"{""type"":""Point"",""coordinates"":[-0.00085311,51.540876101]}",Stratford Essex
403,"{""type"":""Point"",""coordinates"":[-1.771128091,50.8292623]}",Ringwood
404,"{""type"":""Point"",""coordinates"":[1.3751578,51.1841585]}",Ringwould
406,"{""type"":""Point"",""coordinates"":[-4.0658238,55.676514]}",Strathaven
407,"{""type"":""Point"",""coordinates"":[-1.5213194,54.1368788]}",Ripon
408,"{""type"":""Point"",""coordinates"":[-1.4321848,54.9987414]}",South Shields
409,"{""type"":""Point"",""coordinates"":[-2.1557561,53.6153659]}",Rochdale
410,"{""type"":""Point"",""coordinates"":[-0.301462077,51.456340243]}",Richmond
411,"{""type"":""Point"",""coordinates"":[-0.5495898,51.2371889]}",Rosetrees 
412,"{""type"":""Point"",""coordinates"":[-2.5838357,51.9140804]}",Ross on Wye
413,"{""type"":""Point"",""coordinates"":[-1.355187,53.4310417]}",Rotherham
414,"{""type"":""Point"",""coordinates"":[-78.0833466,39.5760804]}",Rotterham
415,"{""type"":""Point"",""coordinates"":[-4.2116533,55.8283888]}",Rutherglen 
416,"{""type"":""Point"",""coordinates"":[-1.1603699,50.7299865]}",Ryde
417,"{""type"":""Point"",""coordinates"":[0.2411256,52.021569]}",Saffron Walden
418,"{""type"":""Point"",""coordinates"":[-0.3755169,51.5111461]}",Southall
419,"{""type"":""Point"",""coordinates"":[-2.2891921,53.4877463]}",Salford
420,"{""type"":""Point"",""coordinates"":[-1.075614,50.8036831]}",Portsmouth
421,"{""type"":""Point"",""coordinates"":[-2.7955844,56.3403902]}",St. Andrews
422,"{""type"":""Point"",""coordinates"":[-1.7954134,51.0690613]}",Salisbury
423,"{""type"":""Point"",""coordinates"":[1.3408309,51.2752527]}",Sandwich
424,"{""type"":""Point"",""coordinates"":[-5.1848837,50.2392986]}",St. Day
425,"{""type"":""Point"",""coordinates"":[-2.803365463,53.42479645]}",Prescot
427,"{""type"":""Point"",""coordinates"":[-0.470867563,52.650321327]}",Stamford
428,"{""type"":""Point"",""coordinates"":[-2.5461298,51.1909451]}",Shepton Mallet
429,"{""type"":""Point"",""coordinates"":[-0.4011868,54.2820009]}",Scarborough
430,"{""type"":""Point"",""coordinates"":[-1.09904072,53.785097]}",Selby
431,"{""type"":""Point"",""coordinates"":[0.196116556,51.27452185]}",Sevenoaks
432,"{""type"":""Point"",""coordinates"":[-2.200461729,51.00745765]}",Shaftesbury
433,"{""type"":""Point"",""coordinates"":[-2.375144061,52.65902505]}",Shifnal
434,"{""type"":""Point"",""coordinates"":[-3.4867983,52.3443102]}",St. Harmons
435,"{""type"":""Point"",""coordinates"":[-5.4795083,50.2149064]}",St. Ives
405,"{""type"":""Point"",""coordinates"":[-0.493135307,51.300107059]}",Ripley
370,"{""type"":""Point"",""coordinates"":[-2.284029393,53.489278057]}",Pendleton
426,"{""type"":""Point"",""coordinates"":[-1.4702278,53.3806626]}",Sheffield
436,"{""type"":""Point"",""coordinates"":[-72.0153096,44.419464]}",St. Johnsbury
437,"{""type"":""Point"",""coordinates"":[-2.7540658,52.707755]}",Shrewsbury
438,"{""type"":""Point"",""coordinates"":[0.101044,51.4264002]}",Sidcup
439,"{""type"":""Point"",""coordinates"":[-3.216432163,50.71721725]}",Sidmouth
440,"{""type"":""Point"",""coordinates"":[-0.2703789,52.22758]}",St. Neots
441,"{""type"":""Point"",""coordinates"":[-122.170292584,37.4265407]}",Stanford
442,"{""type"":""Point"",""coordinates"":[-2.007206304,53.96050325]}",Skipton
443,"{""type"":""Point"",""coordinates"":[0.244192902,51.88696515]}",Stansted
444,"{""type"":""Point"",""coordinates"":[-1.937673296,54.5360347]}",Startforth
445,"{""type"":""Point"",""coordinates"":[-1.404189,50.9025349]}",Southampton
447,"{""type"":""Point"",""coordinates"":[-3.9360012,56.1181242]}",Stirling
448,"{""type"":""Point"",""coordinates"":[-2.160243,53.407901]}",Stockport
450,"{""type"":""Point"",""coordinates"":[-2.2087993,56.9640234]}",Stonehaven
451,"{""type"":""Point"",""coordinates"":[-2.1474345,52.4577615]}",Stourbridge
452,"{""type"":""Point"",""coordinates"":[0.9973428,52.1878147]}",Stowmarket
453,"{""type"":""Point"",""coordinates"":[-2.326394875,50.92900155]}",Sturminster Newton
454,"{""type"":""Point"",""coordinates"":[-2.2198605,51.745424]}",Stroud
455,"{""type"":""Point"",""coordinates"":[-1.3828727,54.9058512]}",Sunderland
456,"{""type"":""Point"",""coordinates"":[-3.9459248,51.6195955]}",Swansea
457,"{""type"":""Point"",""coordinates"":[-3.2323446,51.9964038]}",Talgarth
458,"{""type"":""Point"",""coordinates"":[-1.8383326,52.333736]}",Tanworth-in-Arden
459,"{""type"":""Point"",""coordinates"":[-2.673672473,53.1600059]}",Tarporley
460,"{""type"":""Point"",""coordinates"":[-4.1446358,50.5496154]}",Tavistock
461,"{""type"":""Point"",""coordinates"":[-3.1029086,51.0147895]}",Taunton
462,"{""type"":""Point"",""coordinates"":[-6.103504,54.7007241]}",Templepatrick
463,"{""type"":""Point"",""coordinates"":[-4.7050443,51.6726128]}",Tenby
464,"{""type"":""Point"",""coordinates"":[0.699198877,51.06372145]}",Tenterden
465,"{""type"":""Point"",""coordinates"":[-94.9718267,43.3054683]}",Terril
466,"{""type"":""Point"",""coordinates"":[-2.519589073,50.948806991]}",Sherborn
467,"{""type"":""Point"",""coordinates"":[-0.301183908,51.462002028]}",Richmond Surrey
468,"{""type"":""Point"",""coordinates"":[-0.162265289,51.8193379]}",Tewin
469,"{""type"":""Point"",""coordinates"":[-0.3290769,51.389182]}",Thames Ditton
470,"{""type"":""Point"",""coordinates"":[0.7619363,51.5376596]}",Thorpe Bay
471,"{""type"":""Point"",""coordinates"":[-0.528048164,52.3966484]}",Thrapston
472,"{""type"":""Point"",""coordinates"":[0.414891978,51.0465738]}",Ticehurst
473,"{""type"":""Point"",""coordinates"":[-7.89808041,52.68477435]}",Tipperary
474,"{""type"":""Point"",""coordinates"":[0.2735876,51.1889529]}",Tonbridge
475,"{""type"":""Point"",""coordinates"":[-79.3839347,43.6534817]}",Toronto
476,"{""type"":""Point"",""coordinates"":[-1.0815361,53.9590555]}",York
477,"{""type"":""Point"",""coordinates"":[-7.8506647,51.9501476]}",Youghal
478,"{""type"":""Point"",""coordinates"":[-6.746195664,54.643348171]}",Cookstown
479,"{""type"":""Point"",""coordinates"":[-3.5211361,50.4652392]}",Torquay
480,"{""type"":""Point"",""coordinates"":[0.4115451,51.2984477]}",Town Malling 
481,"{""type"":""Point"",""coordinates"":[-4.9125621,50.2682766]}",Tregony
482,"{""type"":""Point"",""coordinates"":[-3.5885335,54.5474199]}",Whitehaven
483,"{""type"":""Point"",""coordinates"":[-2.202432313,51.31614545]}",Trowbridge
484,"{""type"":""Point"",""coordinates"":[-5.0520467,50.2627515]}",Truro
485,"{""type"":""Point"",""coordinates"":[0.2673446,51.1371483]}",Tunbridge Wells
486,"{""type"":""Point"",""coordinates"":[-77.361955985,25.029422]}",Unknown
487,"{""type"":""Point"",""coordinates"":[0.2516815,51.5589708]}",Upminster
488,"{""type"":""Point"",""coordinates"":[-2.9026437,51.7045076]}",Usk 
489,"{""type"":""Point"",""coordinates"":[16.3725042,48.2083537]}",Vienna
490,"{""type"":""Point"",""coordinates"":[-0.3579759,51.4511693]}",Whitton
491,"{""type"":""Point"",""coordinates"":[-2.7283328,53.3646888]}",Widnes
492,"{""type"":""Point"",""coordinates"":[-1.4967286,53.6829541]}",Wakefield
493,"{""type"":""Point"",""coordinates"":[-3.0394101,53.4241208]}",Wallasey
494,"{""type"":""Point"",""coordinates"":[-1.579003828,54.778014856]}",Durham
495,"{""type"":""Point"",""coordinates"":[-2.6264624,53.5457188]}",Wigan
496,"{""type"":""Point"",""coordinates"":[-3.1583101,54.8250263]}",Wigton
497,"{""type"":""Point"",""coordinates"":[-1.9822687,52.5847949]}",Walsall
498,"{""type"":""Point"",""coordinates"":[-0.0009449,51.6892068]}",Waltham Abbey
499,"{""type"":""Point"",""coordinates"":[-0.0330001,51.6857829]}",Waltham Cross
500,"{""type"":""Point"",""coordinates"":[-0.0188186,51.5844701]}",Walthamstow
501,"{""type"":""Point"",""coordinates"":[-0.419814,51.3856837]}",Walton on Thames
502,"{""type"":""Point"",""coordinates"":[0.0277989,51.5756739]}",Wanstead
503,"{""type"":""Point"",""coordinates"":[-2.1098377,50.6868972]}",Wareham
504,"{""type"":""Point"",""coordinates"":[-2.172166438,51.21507655]}",Warminster
505,"{""type"":""Point"",""coordinates"":[-108.74577756,47.48279005]}",Willmore
506,"{""type"":""Point"",""coordinates"":[-2.4112309,51.0560417]}",Wincanton Somerset
507,"{""type"":""Point"",""coordinates"":[-0.4741522,51.5128661]}",Yiewsley
508,"{""type"":""Point"",""coordinates"":[-2.5943178,53.3899497]}",Warrington
509,"{""type"":""Point"",""coordinates"":[-2.266593525,51.090310735]}",Mere
510,"{""type"":""Point"",""coordinates"":[-7.1119081,52.2609997]}",Waterford
511,"{""type"":""Point"",""coordinates"":[0.412922596,51.25361975]}",Wateringbury
512,"{""type"":""Point"",""coordinates"":[-0.604096404,51.48375775]}",Windsor
514,"{""type"":""Point"",""coordinates"":[-0.3957425,51.6553875]}",Watford
515,"{""type"":""Point"",""coordinates"":[-2.0224441,52.5521806]}",Wednesbury
516,"{""type"":""Point"",""coordinates"":[174.7772114,-41.2887953]}",Wellington
517,"{""type"":""Point"",""coordinates"":[-2.6451203,51.2094511]}",Wells
518,"{""type"":""Point"",""coordinates"":[0.1606824,52.6651733]}",Wisbech
519,"{""type"":""Point"",""coordinates"":[-1.4852861,51.7838848]}",Witney
520,"{""type"":""Point"",""coordinates"":[-1.79764539,51.07155397]}",Sarum
521,"{""type"":""Point"",""coordinates"":[0.551963258,51.877424581]}",Braintree
522,"{""type"":""Point"",""coordinates"":[-3.00175028,51.128383369]}",Bridgewater
523,"{""type"":""Point"",""coordinates"":[-1.9923114,52.5186579]}",West Bromwich
524,"{""type"":""Point"",""coordinates"":[-1.2983434,50.7587988]}",West Cowes
525,"{""type"":""Point"",""coordinates"":[0.43123751,52.086101919]}",Haverhill
526,"{""type"":""Point"",""coordinates"":[-1.207832,54.6868261]}",West Hartlepool
527,"{""type"":""Point"",""coordinates"":[-0.1265398,51.5004439]}",Westminster
528,"{""type"":""Point"",""coordinates"":[-2.959283004,53.414657571]}",Liverpool E
529,"{""type"":""Point"",""coordinates"":[-2.9778916,51.3471927]}",Weston super Mare
530,"{""type"":""Point"",""coordinates"":[-1.377634211,53.9259798]}",Wetherby
531,"{""type"":""Point"",""coordinates"":[-2.984874637,51.558490825]}",Newport
532,"{""type"":""Point"",""coordinates"":[-0.340962207,51.750626139]}",St. Alban's
533,"{""type"":""Point"",""coordinates"":[-2.4543424,50.6096257]}",Weymouth
534,"{""type"":""Point"",""coordinates"":[-0.624256197,54.47997505]}",Whitby
535,"{""type"":""Point"",""coordinates"":[-2.127567,52.5847651]}",Wolverhampton
537,"{""type"":""Point"",""coordinates"":[0.5989448,51.6695923]}",Woodham Ferrers
538,"{""type"":""Point"",""coordinates"":[-1.8972078,51.5441829]}",Wootton Bassett
539,"{""type"":""Point"",""coordinates"":[-0.618390347,51.988223449]}",Woburn 
540,"{""type"":""Point"",""coordinates"":[-2.224358058,52.191952047]}",Worcester
541,"{""type"":""Point"",""coordinates"":[-1.501301695,50.705039067]}",Yarmouth
542,"{""type"":""Point"",""coordinates"":[-4.258429285,55.86222802]}",Glasgow C2
543,"{""type"":""Point"",""coordinates"":[-3.544907139,54.6337737]}",Workington
513,"{""type"":""Point"",""coordinates"":[0.16767692,52.665601399]}",Wisbeach
536,"{""type"":""Point"",""coordinates"":[0.04060863,51.604970641]}",Woodford
449,"{""type"":""Point"",""coordinates"":[-1.312660615,54.564791422]}",Stockton
544,"{""type"":""Point"",""coordinates"":[-0.3699697,50.8115402]}",Worthing
545,"{""type"":""Point"",""coordinates"":[-2.9937869,53.0465084]}",Wrexham
546,"{""type"":""Point"",""coordinates"":[-2.465438661,56.711863352]}",Montrose
547,"{""type"":""Point"",""coordinates"":[-2.299000321,49.427622587]}",Channel Islands
548,"{""type"":""Point"",""coordinates"":[-2.798408063,54.048405664]}",Lancaster
549,"{""type"":""Point"",""coordinates"":[-0.538184685,53.23011602]}",Lincoln
550,"{""type"":""Point"",""coordinates"":[-2.983854681,53.41664706]}",Liverppol
551,"{""type"":""Point"",""coordinates"":[0.502356288,51.387302491]}",Rochester
552,"{""type"":""Point"",""coordinates"":[1.321103105,52.094077888]}",Woodbridge
554,"{""type"":""Point"",""coordinates"":[-1.350255425,51.847190458]}",Woodstock
555,"{""type"":""Point"",""coordinates"":[-0.111796549,51.519792896]}",London WC
556,"{""type"":""Point"",""coordinates"":[-0.801495702,54.072779931]}",Yorks
553,"{""type"":""Point"",""coordinates"":[-1.48043895,53.39453639]}",Sheffield
557,"{""type"":""Point"",""coordinates"":[-1.911621094,54.023906623]}",Pateley Bridge
32,"{""type"":""Point"",""coordinates"":[-3.273627411,51.402722825]}",Barry
332,"{""type"":""Point"",""coordinates"":[0.404296292,51.294028089]}",Malling
446,"{""type"":""Point"",""coordinates"":[-2.23316556,51.743705497]}",Stroudwater
131,"{""type"":""Point"",""coordinates"":[10.989657748,49.477268985]}",Fuerth 
242,"{""type"":""Point"",""coordinates"":[-0.751648806,51.663141729]}",Hughenden 
559,"{""type"":""Point"",""coordinates"":[13.3888599,52.5170365]}",Berlin
560,"{""type"":""Point"",""coordinates"":[9.7385532,52.3744779]}",Hanover
561,"{""type"":""Point"",""coordinates"":[14.5208584,59.6749712]}",Sweden
562,"{""type"":""Point"",""coordinates"":[-74.0060152,40.7127281]}",New York
563,"{""type"":""Point"",""coordinates"":[2.320041022,48.8588897]}","Paris, France"
564,"{""type"":""Point"",""coordinates"":[10.3333283,55.670249]}",Denmark
565,"{""type"":""Point"",""coordinates"":[-1.2649062,52.5310214]}",England
566,"{""type"":""Point"",""coordinates"":[0.2847376,51.2044588]}",Tonbridge Wells
594,"{""type"":""Point"",""coordinates"":[-3.0108212,53.3728002]}",Rock Ferry
595,"{""type"":""Point"",""coordinates"":[0.547200151,52.7160827]}","Kings Lynn, Norfolk"
596,"{""type"":""Point"",""coordinates"":[6.0248643,46.5308859]}","Morez Du Jura, France"
569,"{""type"":""Point"",""coordinates"":[-107.991707,61.0666922]}",Canada
570,"{""type"":""Point"",""coordinates"":[2.320041022,48.8588897]}",Paris
571,"{""type"":""Point"",""coordinates"":[-4.6302502,55.4628044]}",Ayr
572,"{""type"":""Point"",""coordinates"":[-2.8650938,54.0721085]}",Morecambe
573,"{""type"":""Point"",""coordinates"":[37.6174943,55.7504461]}",Moscow
574,"{""type"":""Point"",""coordinates"":[-4.1140518,56.7861112]}",Scotland
575,"{""type"":""Point"",""coordinates"":[-4.8,54.06]}",British Isles
576,"{""type"":""Point"",""coordinates"":[10.000654,53.550341]}",Hamburg
577,"{""type"":""Point"",""coordinates"":[-0.253779139,51.5460558]}",Middlesex
578,"{""type"":""Point"",""coordinates"":[-71.1908924,42.7262016]}","Methuen, USA"
579,"{""type"":""Point"",""coordinates"":[-71.060511,42.3554334]}","Boston, USA"
580,"{""type"":""Point"",""coordinates"":[10.6926437,50.6086518]}","Suhl, Thuringia"
581,"{""type"":""Point"",""coordinates"":[13.7381437,51.0493286]}","Dresden, Germany"
582,"{""type"":""Point"",""coordinates"":[-4.183724694,50.36984855]}",Plymouth Dock
583,"{""type"":""Point"",""coordinates"":[-0.341452351,51.2715316]}",Surrey
584,"{""type"":""Point"",""coordinates"":[14.446459273,50.0596288]}",Prague
585,"{""type"":""Point"",""coordinates"":[-0.91931333,54.26209695]}",Kirkbymoorside
602,"{""type"":""Point"",""coordinates"":[144.9631608,-37.8142176]}","Melbourne, Australia"
587,"{""type"":""Point"",""coordinates"":[-0.3691409,51.4150272]}","Hampton, London"
588,"{""type"":""Point"",""coordinates"":[24.991639,-28.8166236]}",South Africa
589,"{""type"":""Point"",""coordinates"":[5.6343227,52.2434979]}",Holland
590,"{""type"":""Point"",""coordinates"":[5.2568,48.7298343]}","Guerpont, France"
591,"{""type"":""Point"",""coordinates"":[-2.7105501,53.76908]}","Bolton, Lancashire"
612,"{""type"":""Point"",""coordinates"":[0.9098846,52.1069481]}","Bildeston, Suffolk"
592,"{""type"":""Point"",""coordinates"":[-0.0022381,53.3675163]}","Louth, Lincolnshire"
593,"{""type"":""Point"",""coordinates"":[0.5425477,51.3973115]}","New Brompton, Kent"
597,"{""type"":""Point"",""coordinates"":[-74.0060152,40.7127281]}",New York City
598,"{""type"":""Point"",""coordinates"":[0.3138532,49.0677708]}",Normandy
599,"{""type"":""Point"",""coordinates"":[-113.46268,53.5318502]}",Strathearn
600,"{""type"":""Point"",""coordinates"":[-0.08767155,51.50804895]}",London Bridge
601,"{""type"":""Point"",""coordinates"":[-2.7392749,50.8097736]}","Beaminster, Dorset"
603,"{""type"":""Point"",""coordinates"":[-100.445882,39.7837304]}",USA
604,"{""type"":""Point"",""coordinates"":[9.149410145,45.9394759]}","Como, Italy"
605,"{""type"":""Point"",""coordinates"":[-1.7140939,53.7264346]}","Cleckheaton, Yorkshire"
606,"{""type"":""Point"",""coordinates"":[-0.8092339,53.0761693]}",Newark on Trent
607,"{""type"":""Point"",""coordinates"":[12.9252977,50.8322608]}","Chemnitz, Germany"
608,"{""type"":""Point"",""coordinates"":[172.6366455,-43.530955]}","Christchurch, New Zealand"
568,"{""type"":""Point"",""coordinates"":[-75.1635262,39.9527237]}","Philadelphia, USA"
609,"{""type"":""Point"",""coordinates"":[-2.1666674,51.8333313]}",Gloucestershire
610,"{""type"":""Point"",""coordinates"":[78.6677428,22.3511148]}",India
611,"{""type"":""Point"",""coordinates"":[-4.305792958,51.93801135]}",Llanpumpsaint
613,"{""type"":""Point"",""coordinates"":[-1.70634,52.1927803]}","Stratford-upon-Avon, Warwickshire"
567,"{""type"":""Point"",""coordinates"":[-0.0239836,52.9770408]}","Boston, Lincolnshire"
614,"{""type"":""Point"",""coordinates"":[79.8541134,6.9387469]}","Colombo, Sri Lanka"
586,"{""type"":""Point"",""coordinates"":[151.2082848,-33.8698439]}","Sydney, Australia"
615,"{""type"":""Point"",""coordinates"":[-0.0798926,51.5266694]}","Shoreditch, London"
616,"{""type"":""Point"",""coordinates"":[-2.4414627,53.0996153]}",Crewe
617,"{""type"":""Point"",""coordinates"":[12.5834128,49.4374026]}","Tiefenbach, Bavaria"
618,"{""type"":""Point"",""coordinates"":[0.0540693,51.3280619]}","Downe, Kent"
619,"{""type"":""Point"",""coordinates"":[-2.1102277,49.1856637]}","St. Helier, Jersey"
